Name,Male,Female,Incidence,Frequency
Faraz,100,0,7406,1:10599
Bagheri,0,100,7374,1:10645
Kajal,39,61,7361,1:10664
Alizadeh,0,100,7342,1:10691
Heybat,64,36,7316,1:10729
Ammar,100,0,7299,1:10754
Fattah,100,0,7295,1:10760
Bab,32,68,7277,1:10787
Biouk,100,0,7240,1:10842
Abdul Nasser,100,0,7239,1:10844
Saad,100,0,7232,1:10854
Najima,0,100,7215,1:10880
Abdul Azim,100,0,7196,1:10908
Atawa,0,100,7181,1:10931
Ata,47,53,7168,1:10951
Sana,0,100,7146,1:10985
Naji,95,5,7124,1:11019
Noor Ahmad,0,100,7094,1:11065
Khodayar,100,0,7074,1:11097
Shahu,59,41,7059,1:11120
Javereh,0,0,7036,1:11156
Mahmoudi,0,100,7025,1:11174
Nad Ali,87,13,7025,1:11174
Begam,0,100,7022,1:11179
Zulfiqar,100,0,7021,1:11180
Mahmood Reza,100,0,7015,1:11190
Khordhar,0,0,6990,1:11230
Hamad,100,0,6936,1:11317
Najib,100,0,6929,1:11329
Hayman,100,0,6928,1:11330
Rabaie,59,41,6861,1:11441
Khairalensa,0,0,6840,1:11476
Anisa,0,100,6815,1:11518
Kazemi,0,100,6787,1:11566
Farhanaz,0,100,6758,1:11615
Abdulmohammad,100,0,6744,1:11640
Abdul Salam,100,0,6731,1:11662
Dana,0,100,6703,1:11711
Shila,0,100,6701,1:11714
Ghazanfar,100,0,6695,1:11725
Razaee,0,100,6688,1:11737
Barzoo,0,0,6680,1:11751
Pooyan,100,0,6678,1:11755
Abdolnabi,100,0,6653,1:11799
Shahbaz,100,0,6615,1:11866
Abdul Zahra,100,0,6607,1:11881
Gita,0,100,6601,1:11892
Lal,100,0,6587,1:11917
Heydari,50,50,6542,1:11999
Askar,100,0,6540,1:12003
Zohrabi,0,100,6521,1:12038
Salmaz,0,0,6519,1:12041
Yar,71,29,6496,1:12084
Aoes,0,100,6471,1:12131
Haedh,0,0,6462,1:12147
Abolqasem,91,9,6460,1:12151
Salam,100,0,6406,1:12254
Ati,0,100,6401,1:12263
Maroared,0,0,6401,1:12263
Abdul Hassan,100,0,6391,1:12282
Jafari,82,18,6388,1:12288
Safari,45,55,6357,1:12348
Bamani,0,100,6344,1:12373
Tina,0,0,6332,1:12397
Yousefi,20,80,6324,1:12413
Rahele,0,100,6314,1:12432
Shoja,93,7,6305,1:12450
Soltanali,100,0,6292,1:12476
Shoaib,100,0,6278,1:12503
Kayhan,100,0,6272,1:12515
Majed,89,11,6262,1:12535
Sadeghi,51,49,6262,1:12535
Bahia,0,100,6249,1:12562
Salehi,33,67,6243,1:12574
Ghasemali,100,0,6238,1:12584
Fah,89,11,6226,1:12608
Mobina,0,100,6226,1:12608
Aydin,100,0,6197,1:12667
Abbasi,68,32,6190,1:12681
Abdul Razaq,100,0,6188,1:12685
Toba,0,100,6126,1:12814
Noush,0,100,6125,1:12816
Haj,100,0,6122,1:12822
Shahpour,100,0,6111,1:12845
Puneh,68,32,6084,1:12902
Baba,100,0,6044,1:12988
Fayaza,0,0,6043,1:12990
Morad Ali,100,0,6041,1:12994
Kamil,100,0,6023,1:13033
Abdolghani,100,0,5993,1:13098
Faraman,86,14,5969,1:13151
Seyed Alireza,94,6,5959,1:13173
Fazileh,0,100,5936,1:13224
Darvish,95,5,5935,1:13226
Kafaet,0,0,5909,1:13284
Faisal,100,0,5906,1:13291
Zeah,34,66,5895,1:13316
Marvett,21,79,5878,1:13354
Sanobar,0,100,5874,1:13363
Sepehr,100,0,5867,1:13379
Seyyed Saeed,93,7,5861,1:13393
Mohammad Kazem,100,0,5839,1:13444
Sabri,0,0,5811,1:13508
Khairi,73,27,5805,1:13522
Hoshyar,76,24,5799,1:13536
Mahlat,32,68,5779,1:13583
Yousef Ali,100,0,5772,1:13600
Farasat,30,70,5762,1:13623
Ala,0,100,5743,1:13668
Hedaykh,0,0,5720,1:13723
Burhan,100,0,5718,1:13728
Panalei,0,100,5706,1:13757
Noorie,34,66,5703,1:13764
Sargol,0,100,5701,1:13769
Batoul,0,100,5693,1:13788
Dina,0,100,5690,1:13796
Mahya,17,83,5679,1:13822
Majedeh,0,100,5669,1:13847
Sayedanadi,0,0,5663,1:13861
Shaker,100,0,5652,1:13888
Anita,0,0,5614,1:13982
Bhabod,0,0,5608,1:13997
Edi,100,0,5608,1:13997
Rosita,0,100,5572,1:14088
Rahm,86,14,5568,1:14098
Sharaf,57,43,5568,1:14098
Hormoz,100,0,5566,1:14103
Darab,100,0,5557,1:14126
Mousavi,88,12,5555,1:14131
Zargham,100,0,5549,1:14146
Mohammad Rasoul,100,0,5547,1:14151
Karamali,93,7,5540,1:14169
Samareh,100,0,5533,1:14187
Walid,100,0,5526,1:14205
Mariya,0,0,5481,1:14322
Sadat,37,63,5475,1:14337
Maryan,0,100,5436,1:14440
Abadaleh,0,0,5431,1:14453
Khodaverdi,100,0,5393,1:14555
Rakhshandeh,0,100,5392,1:14558
Seyyed Hameed,93,7,5387,1:14572
Asadi,73,27,5365,1:14631
Seyyed Majid,94,6,5360,1:14645
Dehghan,0,100,5347,1:14681
Hajir,19,81,5346,1:14683
Janat,0,100,5343,1:14692
Golbahar,0,100,5338,1:14705
Khairallah,100,0,5338,1:14705
Khademarad,0,0,5335,1:14714
Gulmesom,0,0,5326,1:14738
Unith Bakhsh,0,100,5316,1:14766
Zea,7,93,5315,1:14769
Farzan,77,23,5314,1:14772
Fath Ali,94,6,5310,1:14783
Prince,100,0,5306,1:14794
Saone,73,27,5301,1:14808
Adalat,84,16,5284,1:14856
Rashed,100,0,5281,1:14864
Mahmat,91,9,5271,1:14892
Arshad,100,0,5268,1:14901
Aslan,100,0,5240,1:14980
Mohammad Jafar,100,0,5237,1:14989
Nozar,74,26,5229,1:15012
Farangiz,0,100,5227,1:15018
Afzal,88,12,5224,1:15026
Arjani,90,10,5217,1:15046
Asf,56,44,5214,1:15055
Pirouz,76,24,5212,1:15061
Eid,93,7,5207,1:15075
Nazari,73,27,5197,1:15104
Shokouf,0,0,5191,1:15122
Ardalan,100,0,5181,1:15151
Zanali,0,0,5177,1:15163
Vahdat,46,54,5169,1:15186
Mobin,90,10,5165,1:15198
Anah,0,100,5163,1:15204
Yad,87,13,5162,1:15207
Amjad,100,0,5158,1:15218
Seyed Amir,94,6,5144,1:15260
Amirali,100,0,5135,1:15287
Kheshayar,100,0,5126,1:15313
Tavakol,0,0,5118,1:15337
Fayeq,84,16,5114,1:15349
Mar,86,14,5111,1:15358
Lotfali,100,0,5107,1:15370
Searh,6,94,5084,1:15440
Seyed Ebrahim,94,6,5083,1:15443
Sogand,0,100,5075,1:15467
Nikoo,0,100,5073,1:15473
Saheba,0,100,5058,1:15519
Atoosa,0,100,5057,1:15522
